pair_page,species_a,species_b,existing_a_hub_link,existing_b_hub_link,proposed_a_target,proposed_b_target,action
/compatibility/african-butterfly-fish-and-electric-yellow-cichlid/,african-butterfly-fish,electric-yellow-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/electric-yellow-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-ember-tetra/,african-butterfly-fish,ember-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/ember-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-fire-eel/,african-butterfly-fish,fire-eel,False,False,/compatibility/african-butterfly-fish/,/compatibility/fire-eel/,Ensure both owner links
/compatibility/african-butterfly-fish-and-firefish-goby/,african-butterfly-fish,firefish-goby,False,False,/compatibility/african-butterfly-fish/,/compatibility/firefish-goby/,Ensure both owner links
/compatibility/african-butterfly-fish-and-flame-angelfish/,african-butterfly-fish,flame-angelfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/flame-angelfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-foxface-rabbitfish/,african-butterfly-fish,foxface-rabbitfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/foxface-rabbitfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-frontosa-cichlid/,african-butterfly-fish,frontosa-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/frontosa-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-giant-danio/,african-butterfly-fish,giant-danio,False,False,/compatibility/african-butterfly-fish/,/compatibility/giant-danio/,Ensure both owner links
/compatibility/african-butterfly-fish-and-glass-catfish/,african-butterfly-fish,glass-catfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/glass-catfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-glowlight-danio/,african-butterfly-fish,glowlight-danio,False,False,/compatibility/african-butterfly-fish/,/compatibility/glowlight-danio/,Ensure both owner links
/compatibility/african-butterfly-fish-and-glowlight-tetra/,african-butterfly-fish,glowlight-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/glowlight-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-goldfish/,african-butterfly-fish,goldfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/goldfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-green-terror-cichlid/,african-butterfly-fish,green-terror-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/green-terror-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-guppy/,african-butterfly-fish,guppy,False,False,/compatibility/african-butterfly-fish/,/compatibility/guppy/,Ensure both owner links
/compatibility/african-butterfly-fish-and-harlequin-rasbora/,african-butterfly-fish,harlequin-rasbora,False,False,/compatibility/african-butterfly-fish/,/compatibility/harlequin-rasbora/,Ensure both owner links
/compatibility/african-butterfly-fish-and-hillstream-loach/,african-butterfly-fish,hillstream-loach,False,False,/compatibility/african-butterfly-fish/,/compatibility/hillstream-loach/,Ensure both owner links
/compatibility/african-butterfly-fish-and-honey-gourami/,african-butterfly-fish,honey-gourami,False,False,/compatibility/african-butterfly-fish/,/compatibility/honey-gourami/,Ensure both owner links
/compatibility/african-butterfly-fish-and-jewel-cichlid/,african-butterfly-fish,jewel-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/jewel-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-julii-cory/,african-butterfly-fish,julii-cory,False,False,/compatibility/african-butterfly-fish/,/compatibility/julii-cory/,Ensure both owner links
/compatibility/african-butterfly-fish-and-keyhole-cichlid/,african-butterfly-fish,keyhole-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/keyhole-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-koi/,african-butterfly-fish,koi,False,False,/compatibility/african-butterfly-fish/,/guides/koi-fish-care/tank-mates/,Ensure both owner links
/compatibility/african-butterfly-fish-and-kuhli-loach/,african-butterfly-fish,kuhli-loach,False,False,/compatibility/african-butterfly-fish/,/compatibility/kuhli-loach/,Ensure both owner links
/compatibility/african-butterfly-fish-and-lemon-tetra/,african-butterfly-fish,lemon-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/lemon-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-lionfish/,african-butterfly-fish,lionfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/lionfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-molly/,african-butterfly-fish,molly,False,False,/compatibility/african-butterfly-fish/,/compatibility/molly/,Ensure both owner links
/compatibility/african-butterfly-fish-and-moonlight-gourami/,african-butterfly-fish,moonlight-gourami,False,False,/compatibility/african-butterfly-fish/,/compatibility/moonlight-gourami/,Ensure both owner links
/compatibility/african-butterfly-fish-and-mystery-snail/,african-butterfly-fish,mystery-snail,False,False,/compatibility/african-butterfly-fish/,/compatibility/mystery-snail/,Ensure both owner links
/compatibility/african-butterfly-fish-and-neon-rainbowfish/,african-butterfly-fish,neon-rainbowfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/neon-rainbowfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-neon-tetra/,african-butterfly-fish,neon-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/neon-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-nerite-snail/,african-butterfly-fish,nerite-snail,False,False,/compatibility/african-butterfly-fish/,/compatibility/nerite-snail/,Ensure both owner links
/compatibility/african-butterfly-fish-and-oscar/,african-butterfly-fish,oscar,False,False,/compatibility/african-butterfly-fish/,/guides/oscar-fish-care/tank-mates/,Ensure both owner links
/compatibility/african-butterfly-fish-and-otocinclus/,african-butterfly-fish,otocinclus,False,False,/compatibility/african-butterfly-fish/,/compatibility/otocinclus/,Ensure both owner links
/compatibility/african-butterfly-fish-and-pajama-cardinalfish/,african-butterfly-fish,pajama-cardinalfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/pajama-cardinalfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-panda-cory/,african-butterfly-fish,panda-cory,False,False,/compatibility/african-butterfly-fish/,/compatibility/panda-cory/,Ensure both owner links
/compatibility/african-butterfly-fish-and-pea-puffer/,african-butterfly-fish,pea-puffer,False,False,/compatibility/african-butterfly-fish/,/compatibility/pea-puffer/,Ensure both owner links
/compatibility/african-butterfly-fish-and-peacock-cichlid/,african-butterfly-fish,peacock-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/peacock-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-pearl-danio/,african-butterfly-fish,pearl-danio,False,False,/compatibility/african-butterfly-fish/,/compatibility/pearl-danio/,Ensure both owner links
/compatibility/african-butterfly-fish-and-peppered-cory/,african-butterfly-fish,peppered-cory,False,False,/compatibility/african-butterfly-fish/,/compatibility/peppered-cory/,Ensure both owner links
/compatibility/african-butterfly-fish-and-percula-clownfish/,african-butterfly-fish,percula-clownfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/percula-clownfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-platy/,african-butterfly-fish,platy,False,False,/compatibility/african-butterfly-fish/,/compatibility/platy/,Ensure both owner links
/compatibility/african-butterfly-fish-and-pygmy-corydoras/,african-butterfly-fish,pygmy-corydoras,False,False,/compatibility/african-butterfly-fish/,/compatibility/pygmy-corydoras/,Ensure both owner links
/compatibility/african-butterfly-fish-and-rainbow-shark/,african-butterfly-fish,rainbow-shark,False,False,/compatibility/african-butterfly-fish/,/compatibility/rainbow-shark/,Ensure both owner links
/compatibility/african-butterfly-fish-and-red-eye-tetra/,african-butterfly-fish,red-eye-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/red-eye-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-rosy-barb/,african-butterfly-fish,rosy-barb,False,False,/compatibility/african-butterfly-fish/,/compatibility/rosy-barb/,Ensure both owner links
/compatibility/african-butterfly-fish-and-royal-gramma/,african-butterfly-fish,royal-gramma,False,False,/compatibility/african-butterfly-fish/,/compatibility/royal-gramma/,Ensure both owner links
/compatibility/african-butterfly-fish-and-senegal-bichir/,african-butterfly-fish,senegal-bichir,False,False,/compatibility/african-butterfly-fish/,/compatibility/senegal-bichir/,Ensure both owner links
/compatibility/african-butterfly-fish-and-serpae-tetra/,african-butterfly-fish,serpae-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/serpae-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-severum-cichlid/,african-butterfly-fish,severum-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/severum-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-silver-arowana/,african-butterfly-fish,silver-arowana,False,False,/compatibility/african-butterfly-fish/,/compatibility/silver-arowana/,Ensure both owner links
/compatibility/african-butterfly-fish-and-silver-dollar/,african-butterfly-fish,silver-dollar,False,False,/compatibility/african-butterfly-fish/,/compatibility/silver-dollar/,Ensure both owner links
/compatibility/african-butterfly-fish-and-sparkling-gourami/,african-butterfly-fish,sparkling-gourami,False,False,/compatibility/african-butterfly-fish/,/compatibility/sparkling-gourami/,Ensure both owner links
/compatibility/african-butterfly-fish-and-sterbai-cory/,african-butterfly-fish,sterbai-cory,False,False,/compatibility/african-butterfly-fish/,/compatibility/sterbai-cory/,Ensure both owner links
/compatibility/african-butterfly-fish-and-swordtail/,african-butterfly-fish,swordtail,False,False,/compatibility/african-butterfly-fish/,/compatibility/swordtail/,Ensure both owner links
/compatibility/african-butterfly-fish-and-texas-cichlid/,african-butterfly-fish,texas-cichlid,False,False,/compatibility/african-butterfly-fish/,/compatibility/texas-cichlid/,Ensure both owner links
/compatibility/african-butterfly-fish-and-threadfin-rainbowfish/,african-butterfly-fish,threadfin-rainbowfish,False,False,/compatibility/african-butterfly-fish/,/compatibility/threadfin-rainbowfish/,Ensure both owner links
/compatibility/african-butterfly-fish-and-three-spot-gourami/,african-butterfly-fish,three-spot-gourami,False,False,/compatibility/african-butterfly-fish/,/compatibility/three-spot-gourami/,Ensure both owner links
/compatibility/african-butterfly-fish-and-tiger-barb/,african-butterfly-fish,tiger-barb,False,False,/compatibility/african-butterfly-fish/,/compatibility/tiger-barb/,Ensure both owner links
/compatibility/african-butterfly-fish-and-watchman-goby/,african-butterfly-fish,watchman-goby,False,False,/compatibility/african-butterfly-fish/,/compatibility/watchman-goby/,Ensure both owner links
/compatibility/african-butterfly-fish-and-weather-loach/,african-butterfly-fish,weather-loach,False,False,/compatibility/african-butterfly-fish/,/compatibility/weather-loach/,Ensure both owner links
/compatibility/african-butterfly-fish-and-x-ray-tetra/,african-butterfly-fish,x-ray-tetra,False,False,/compatibility/african-butterfly-fish/,/compatibility/x-ray-tetra/,Ensure both owner links
/compatibility/african-butterfly-fish-and-yellow-tang/,african-butterfly-fish,yellow-tang,False,False,/compatibility/african-butterfly-fish/,/compatibility/yellow-tang/,Ensure both owner links
/compatibility/african-butterfly-fish-and-yoyo-loach/,african-butterfly-fish,yoyo-loach,False,False,/compatibility/african-butterfly-fish/,/compatibility/yoyo-loach/,Ensure both owner links
/compatibility/african-butterfly-fish-and-zebra-danio/,african-butterfly-fish,zebra-danio,False,False,/compatibility/african-butterfly-fish/,/compatibility/zebra-danio/,Ensure both owner links
/compatibility/african-butterfly-fish-and-zebra-loach/,african-butterfly-fish,zebra-loach,False,False,/compatibility/african-butterfly-fish/,/compatibility/zebra-loach/,Ensure both owner links
/compatibility/african-butterfly-fish-and-zebra-pleco/,african-butterfly-fish,zebra-pleco,False,False,/compatibility/african-butterfly-fish/,/compatibility/zebra-pleco/,Ensure both owner links
/compatibility/angelfish-and-betta-fish/,angelfish,betta-fish,False,False,/compatibility/angelfish/,/guides/betta-fish-care/tank-mates/,Ensure both owner links
/compatibility/angelfish-and-black-ghost-knifefish/,angelfish,black-ghost-knifefish,False,False,/compatibility/angelfish/,/compatibility/black-ghost-knifefish/,Ensure both owner links
/compatibility/angelfish-and-black-neon-tetra/,angelfish,black-neon-tetra,False,False,/compatibility/angelfish/,/compatibility/black-neon-tetra/,Ensure both owner links
/compatibility/angelfish-and-black-phantom-tetra/,angelfish,black-phantom-tetra,False,False,/compatibility/angelfish/,/compatibility/black-phantom-tetra/,Ensure both owner links
/compatibility/angelfish-and-black-ruby-barb/,angelfish,black-ruby-barb,False,False,/compatibility/angelfish/,/compatibility/black-ruby-barb/,Ensure both owner links
/compatibility/angelfish-and-blue-tang/,angelfish,blue-tang,False,False,/compatibility/angelfish/,/compatibility/blue-tang/,Ensure both owner links
/compatibility/angelfish-and-bolivian-ram/,angelfish,bolivian-ram,False,False,/compatibility/angelfish/,/compatibility/bolivian-ram/,Ensure both owner links
/compatibility/angelfish-and-bosemans-rainbowfish/,angelfish,bosemans-rainbowfish,False,False,/compatibility/angelfish/,/compatibility/bosemans-rainbowfish/,Ensure both owner links
/compatibility/angelfish-and-bristlenose-pleco/,angelfish,bristlenose-pleco,False,False,/compatibility/angelfish/,/compatibility/bristlenose-pleco/,Ensure both owner links
/compatibility/angelfish-and-cardinal-tetra/,angelfish,cardinal-tetra,False,False,/compatibility/angelfish/,/compatibility/cardinal-tetra/,Ensure both owner links
/compatibility/angelfish-and-cherry-barb/,angelfish,cherry-barb,False,False,/compatibility/angelfish/,/compatibility/cherry-barb/,Ensure both owner links
/compatibility/angelfish-and-cherry-shrimp/,angelfish,cherry-shrimp,False,False,/compatibility/angelfish/,/compatibility/cherry-shrimp/,Ensure both owner links
/compatibility/angelfish-and-chili-rasbora/,angelfish,chili-rasbora,False,False,/compatibility/angelfish/,/compatibility/chili-rasbora/,Ensure both owner links
/compatibility/angelfish-and-clown-knifefish/,angelfish,clown-knifefish,False,False,/compatibility/angelfish/,/compatibility/clown-knifefish/,Ensure both owner links
/compatibility/angelfish-and-clown-loach/,angelfish,clown-loach,False,False,/compatibility/angelfish/,/compatibility/clown-loach/,Ensure both owner links
/compatibility/angelfish-and-clown-pleco/,angelfish,clown-pleco,False,False,/compatibility/angelfish/,/compatibility/clown-pleco/,Ensure both owner links
/compatibility/angelfish-and-congo-tetra/,angelfish,congo-tetra,False,False,/compatibility/angelfish/,/compatibility/congo-tetra/,Ensure both owner links
/compatibility/angelfish-and-coral-beauty/,angelfish,coral-beauty,False,False,/compatibility/angelfish/,/compatibility/coral-beauty/,Ensure both owner links
/compatibility/angelfish-and-corydoras/,angelfish,corydoras,False,False,/compatibility/angelfish/,/compatibility/corydoras/,Ensure both owner links
/compatibility/angelfish-and-denison-barb/,angelfish,denison-barb,False,False,/compatibility/angelfish/,/compatibility/denison-barb/,Ensure both owner links
/compatibility/angelfish-and-diamond-tetra/,angelfish,diamond-tetra,False,False,/compatibility/angelfish/,/compatibility/diamond-tetra/,Ensure both owner links
/compatibility/angelfish-and-discus/,angelfish,discus,False,False,/compatibility/angelfish/,/guides/discus-fish-care/tank-mates/,Ensure both owner links
/compatibility/angelfish-and-dwarf-chain-loach/,angelfish,dwarf-chain-loach,False,False,/compatibility/angelfish/,/compatibility/dwarf-chain-loach/,Ensure both owner links
/compatibility/angelfish-and-dwarf-gourami/,angelfish,dwarf-gourami,False,False,/compatibility/angelfish/,/compatibility/dwarf-gourami/,Ensure both owner links
/compatibility/angelfish-and-electric-yellow-cichlid/,angelfish,electric-yellow-cichlid,False,False,/compatibility/angelfish/,/compatibility/electric-yellow-cichlid/,Ensure both owner links
/compatibility/angelfish-and-ember-tetra/,angelfish,ember-tetra,False,False,/compatibility/angelfish/,/compatibility/ember-tetra/,Ensure both owner links
/compatibility/angelfish-and-fire-eel/,angelfish,fire-eel,False,False,/compatibility/angelfish/,/compatibility/fire-eel/,Ensure both owner links
/compatibility/angelfish-and-firefish-goby/,angelfish,firefish-goby,False,False,/compatibility/angelfish/,/compatibility/firefish-goby/,Ensure both owner links
/compatibility/angelfish-and-flame-angelfish/,angelfish,flame-angelfish,False,False,/compatibility/angelfish/,/compatibility/flame-angelfish/,Ensure both owner links
/compatibility/angelfish-and-foxface-rabbitfish/,angelfish,foxface-rabbitfish,False,False,/compatibility/angelfish/,/compatibility/foxface-rabbitfish/,Ensure both owner links
/compatibility/angelfish-and-frontosa-cichlid/,angelfish,frontosa-cichlid,False,False,/compatibility/angelfish/,/compatibility/frontosa-cichlid/,Ensure both owner links
/compatibility/angelfish-and-giant-danio/,angelfish,giant-danio,False,False,/compatibility/angelfish/,/compatibility/giant-danio/,Ensure both owner links
/compatibility/angelfish-and-glass-catfish/,angelfish,glass-catfish,False,False,/compatibility/angelfish/,/compatibility/glass-catfish/,Ensure both owner links
/compatibility/angelfish-and-glowlight-danio/,angelfish,glowlight-danio,False,False,/compatibility/angelfish/,/compatibility/glowlight-danio/,Ensure both owner links
/compatibility/angelfish-and-glowlight-tetra/,angelfish,glowlight-tetra,False,False,/compatibility/angelfish/,/compatibility/glowlight-tetra/,Ensure both owner links
/compatibility/angelfish-and-goldfish/,angelfish,goldfish,False,False,/compatibility/angelfish/,/compatibility/goldfish/,Ensure both owner links
/compatibility/angelfish-and-green-terror-cichlid/,angelfish,green-terror-cichlid,False,False,/compatibility/angelfish/,/compatibility/green-terror-cichlid/,Ensure both owner links
/compatibility/angelfish-and-guppy/,angelfish,guppy,False,False,/compatibility/angelfish/,/compatibility/guppy/,Ensure both owner links
/compatibility/angelfish-and-harlequin-rasbora/,angelfish,harlequin-rasbora,False,False,/compatibility/angelfish/,/compatibility/harlequin-rasbora/,Ensure both owner links
/compatibility/angelfish-and-hillstream-loach/,angelfish,hillstream-loach,False,False,/compatibility/angelfish/,/compatibility/hillstream-loach/,Ensure both owner links
/compatibility/angelfish-and-honey-gourami/,angelfish,honey-gourami,False,False,/compatibility/angelfish/,/compatibility/honey-gourami/,Ensure both owner links
/compatibility/angelfish-and-jewel-cichlid/,angelfish,jewel-cichlid,False,False,/compatibility/angelfish/,/compatibility/jewel-cichlid/,Ensure both owner links
/compatibility/angelfish-and-julii-cory/,angelfish,julii-cory,False,False,/compatibility/angelfish/,/compatibility/julii-cory/,Ensure both owner links
/compatibility/angelfish-and-keyhole-cichlid/,angelfish,keyhole-cichlid,False,False,/compatibility/angelfish/,/compatibility/keyhole-cichlid/,Ensure both owner links
/compatibility/angelfish-and-koi/,angelfish,koi,False,False,/compatibility/angelfish/,/guides/koi-fish-care/tank-mates/,Ensure both owner links
/compatibility/angelfish-and-kuhli-loach/,angelfish,kuhli-loach,False,False,/compatibility/angelfish/,/compatibility/kuhli-loach/,Ensure both owner links
/compatibility/angelfish-and-lemon-tetra/,angelfish,lemon-tetra,False,False,/compatibility/angelfish/,/compatibility/lemon-tetra/,Ensure both owner links
/compatibility/angelfish-and-lionfish/,angelfish,lionfish,False,False,/compatibility/angelfish/,/compatibility/lionfish/,Ensure both owner links
/compatibility/angelfish-and-molly/,angelfish,molly,False,False,/compatibility/angelfish/,/compatibility/molly/,Ensure both owner links
/compatibility/angelfish-and-moonlight-gourami/,angelfish,moonlight-gourami,False,False,/compatibility/angelfish/,/compatibility/moonlight-gourami/,Ensure both owner links
/compatibility/angelfish-and-mystery-snail/,angelfish,mystery-snail,False,False,/compatibility/angelfish/,/compatibility/mystery-snail/,Ensure both owner links
/compatibility/angelfish-and-neon-rainbowfish/,angelfish,neon-rainbowfish,False,False,/compatibility/angelfish/,/compatibility/neon-rainbowfish/,Ensure both owner links
/compatibility/angelfish-and-neon-tetra/,angelfish,neon-tetra,False,False,/compatibility/angelfish/,/compatibility/neon-tetra/,Ensure both owner links
/compatibility/angelfish-and-nerite-snail/,angelfish,nerite-snail,False,False,/compatibility/angelfish/,/compatibility/nerite-snail/,Ensure both owner links
/compatibility/angelfish-and-oscar/,angelfish,oscar,False,False,/compatibility/angelfish/,/guides/oscar-fish-care/tank-mates/,Ensure both owner links
/compatibility/angelfish-and-otocinclus/,angelfish,otocinclus,False,False,/compatibility/angelfish/,/compatibility/otocinclus/,Ensure both owner links
/compatibility/angelfish-and-pajama-cardinalfish/,angelfish,pajama-cardinalfish,False,False,/compatibility/angelfish/,/compatibility/pajama-cardinalfish/,Ensure both owner links
/compatibility/angelfish-and-panda-cory/,angelfish,panda-cory,False,False,/compatibility/angelfish/,/compatibility/panda-cory/,Ensure both owner links
/compatibility/angelfish-and-pea-puffer/,angelfish,pea-puffer,False,False,/compatibility/angelfish/,/compatibility/pea-puffer/,Ensure both owner links
/compatibility/angelfish-and-peacock-cichlid/,angelfish,peacock-cichlid,False,False,/compatibility/angelfish/,/compatibility/peacock-cichlid/,Ensure both owner links
/compatibility/angelfish-and-pearl-danio/,angelfish,pearl-danio,False,False,/compatibility/angelfish/,/compatibility/pearl-danio/,Ensure both owner links
/compatibility/angelfish-and-peppered-cory/,angelfish,peppered-cory,False,False,/compatibility/angelfish/,/compatibility/peppered-cory/,Ensure both owner links
/compatibility/angelfish-and-percula-clownfish/,angelfish,percula-clownfish,False,False,/compatibility/angelfish/,/compatibility/percula-clownfish/,Ensure both owner links
/compatibility/angelfish-and-platy/,angelfish,platy,False,False,/compatibility/angelfish/,/compatibility/platy/,Ensure both owner links
/compatibility/angelfish-and-pygmy-corydoras/,angelfish,pygmy-corydoras,False,False,/compatibility/angelfish/,/compatibility/pygmy-corydoras/,Ensure both owner links
/compatibility/angelfish-and-rainbow-shark/,angelfish,rainbow-shark,False,False,/compatibility/angelfish/,/compatibility/rainbow-shark/,Ensure both owner links
/compatibility/angelfish-and-red-eye-tetra/,angelfish,red-eye-tetra,False,False,/compatibility/angelfish/,/compatibility/red-eye-tetra/,Ensure both owner links
/compatibility/angelfish-and-rosy-barb/,angelfish,rosy-barb,False,False,/compatibility/angelfish/,/compatibility/rosy-barb/,Ensure both owner links
/compatibility/angelfish-and-royal-gramma/,angelfish,royal-gramma,False,False,/compatibility/angelfish/,/compatibility/royal-gramma/,Ensure both owner links
/compatibility/angelfish-and-senegal-bichir/,angelfish,senegal-bichir,False,False,/compatibility/angelfish/,/compatibility/senegal-bichir/,Ensure both owner links
/compatibility/angelfish-and-serpae-tetra/,angelfish,serpae-tetra,False,False,/compatibility/angelfish/,/compatibility/serpae-tetra/,Ensure both owner links
/compatibility/angelfish-and-severum-cichlid/,angelfish,severum-cichlid,False,False,/compatibility/angelfish/,/compatibility/severum-cichlid/,Ensure both owner links
/compatibility/angelfish-and-silver-arowana/,angelfish,silver-arowana,False,False,/compatibility/angelfish/,/compatibility/silver-arowana/,Ensure both owner links
/compatibility/angelfish-and-silver-dollar/,angelfish,silver-dollar,False,False,/compatibility/angelfish/,/compatibility/silver-dollar/,Ensure both owner links
/compatibility/angelfish-and-sparkling-gourami/,angelfish,sparkling-gourami,False,False,/compatibility/angelfish/,/compatibility/sparkling-gourami/,Ensure both owner links
/compatibility/angelfish-and-sterbai-cory/,angelfish,sterbai-cory,False,False,/compatibility/angelfish/,/compatibility/sterbai-cory/,Ensure both owner links
/compatibility/angelfish-and-swordtail/,angelfish,swordtail,False,False,/compatibility/angelfish/,/compatibility/swordtail/,Ensure both owner links
/compatibility/angelfish-and-texas-cichlid/,angelfish,texas-cichlid,False,False,/compatibility/angelfish/,/compatibility/texas-cichlid/,Ensure both owner links
