species,existing_hub,proposed_tank_mates_owner,existing_editorial_page,wiki_page,wiki_links_hub,action,hub_in_sitemap
clown-pleco,/compatibility/clown-pleco/,/compatibility/clown-pleco/,,,False,Upgrade existing hub; add care and pair links,True
congo-tetra,/compatibility/congo-tetra/,/compatibility/congo-tetra/,,,False,Upgrade existing hub; add care and pair links,True
coral-beauty,/compatibility/coral-beauty/,/compatibility/coral-beauty/,,,False,Upgrade existing hub; add care and pair links,True
corydoras,/compatibility/corydoras/,/compatibility/corydoras/,,/wiki/corydoras/,False,Upgrade existing hub; add care and pair links,True
denison-barb,/compatibility/denison-barb/,/compatibility/denison-barb/,,,False,Upgrade existing hub; add care and pair links,True
diamond-tetra,/compatibility/diamond-tetra/,/compatibility/diamond-tetra/,,,False,Upgrade existing hub; add care and pair links,True
discus,/compatibility/discus/,/guides/discus-fish-care/tank-mates/,/guides/discus-fish-care/tank-mates/,/wiki/discus/,False,Merge overlapping hub into editorial owner after traffic review,True
dwarf-chain-loach,/compatibility/dwarf-chain-loach/,/compatibility/dwarf-chain-loach/,,,False,Upgrade existing hub; add care and pair links,True
dwarf-gourami,/compatibility/dwarf-gourami/,/compatibility/dwarf-gourami/,,/wiki/dwarf-gourami/,False,Upgrade existing hub; add care and pair links,True
electric-yellow-cichlid,/compatibility/electric-yellow-cichlid/,/compatibility/electric-yellow-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
ember-tetra,/compatibility/ember-tetra/,/compatibility/ember-tetra/,,/wiki/ember-tetra/,False,Upgrade existing hub; add care and pair links,True
fire-eel,/compatibility/fire-eel/,/compatibility/fire-eel/,,,False,Upgrade existing hub; add care and pair links,True
firefish-goby,/compatibility/firefish-goby/,/compatibility/firefish-goby/,,,False,Upgrade existing hub; add care and pair links,True
flame-angelfish,/compatibility/flame-angelfish/,/compatibility/flame-angelfish/,,,False,Upgrade existing hub; add care and pair links,True
foxface-rabbitfish,/compatibility/foxface-rabbitfish/,/compatibility/foxface-rabbitfish/,,,False,Upgrade existing hub; add care and pair links,True
frontosa-cichlid,/compatibility/frontosa-cichlid/,/compatibility/frontosa-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
giant-danio,/compatibility/giant-danio/,/compatibility/giant-danio/,,,False,Upgrade existing hub; add care and pair links,True
glass-catfish,/compatibility/glass-catfish/,/compatibility/glass-catfish/,,,False,Upgrade existing hub; add care and pair links,True
glowlight-danio,/compatibility/glowlight-danio/,/compatibility/glowlight-danio/,,,False,Upgrade existing hub; add care and pair links,True
glowlight-tetra,/compatibility/glowlight-tetra/,/compatibility/glowlight-tetra/,,,False,Upgrade existing hub; add care and pair links,True
goldfish,/compatibility/goldfish/,/compatibility/goldfish/,,/wiki/goldfish/,False,Upgrade existing hub; add care and pair links,True
green-terror-cichlid,/compatibility/green-terror-cichlid/,/compatibility/green-terror-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
guppy,/compatibility/guppy/,/compatibility/guppy/,,/wiki/guppy/,False,Upgrade existing hub; add care and pair links,True
harlequin-rasbora,/compatibility/harlequin-rasbora/,/compatibility/harlequin-rasbora/,,/wiki/harlequin-rasbora/,False,Upgrade existing hub; add care and pair links,True
hillstream-loach,/compatibility/hillstream-loach/,/compatibility/hillstream-loach/,,,False,Upgrade existing hub; add care and pair links,True
honey-gourami,/compatibility/honey-gourami/,/compatibility/honey-gourami/,,/wiki/honey-gourami/,False,Upgrade existing hub; add care and pair links,True
jewel-cichlid,/compatibility/jewel-cichlid/,/compatibility/jewel-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
julii-cory,/compatibility/julii-cory/,/compatibility/julii-cory/,,,False,Upgrade existing hub; add care and pair links,True
keyhole-cichlid,/compatibility/keyhole-cichlid/,/compatibility/keyhole-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
koi,/compatibility/koi/,/guides/koi-fish-care/tank-mates/,/guides/koi-fish-care/tank-mates/,/wiki/koi/,False,Merge overlapping hub into editorial owner after traffic review,True
kuhli-loach,/compatibility/kuhli-loach/,/compatibility/kuhli-loach/,,/wiki/kuhli-loach/,False,Upgrade existing hub; add care and pair links,True
lemon-tetra,/compatibility/lemon-tetra/,/compatibility/lemon-tetra/,,,False,Upgrade existing hub; add care and pair links,True
lionfish,/compatibility/lionfish/,/compatibility/lionfish/,,,False,Upgrade existing hub; add care and pair links,True
molly,/compatibility/molly/,/compatibility/molly/,,/wiki/molly/,False,Upgrade existing hub; add care and pair links,True
moonlight-gourami,/compatibility/moonlight-gourami/,/compatibility/moonlight-gourami/,,,False,Upgrade existing hub; add care and pair links,True
mystery-snail,/compatibility/mystery-snail/,/compatibility/mystery-snail/,,/wiki/mystery-snail/,False,Upgrade existing hub; add care and pair links,True
neon-rainbowfish,/compatibility/neon-rainbowfish/,/compatibility/neon-rainbowfish/,,,False,Upgrade existing hub; add care and pair links,True
neon-tetra,/compatibility/neon-tetra/,/compatibility/neon-tetra/,,/wiki/neon-tetra/,False,Upgrade existing hub; add care and pair links,True
nerite-snail,/compatibility/nerite-snail/,/compatibility/nerite-snail/,,/wiki/nerite-snail/,False,Upgrade existing hub; add care and pair links,True
oscar,/compatibility/oscar/,/guides/oscar-fish-care/tank-mates/,/guides/oscar-fish-care/tank-mates/,/wiki/oscar/,False,Merge overlapping hub into editorial owner after traffic review,True
otocinclus,/compatibility/otocinclus/,/compatibility/otocinclus/,,/wiki/otocinclus/,False,Upgrade existing hub; add care and pair links,True
pajama-cardinalfish,/compatibility/pajama-cardinalfish/,/compatibility/pajama-cardinalfish/,,,False,Upgrade existing hub; add care and pair links,True
panda-cory,/compatibility/panda-cory/,/compatibility/panda-cory/,,,False,Upgrade existing hub; add care and pair links,True
pea-puffer,/compatibility/pea-puffer/,/compatibility/pea-puffer/,,/wiki/pea-puffer/,False,Upgrade existing hub; add care and pair links,True
peacock-cichlid,/compatibility/peacock-cichlid/,/compatibility/peacock-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
pearl-danio,/compatibility/pearl-danio/,/compatibility/pearl-danio/,,,False,Upgrade existing hub; add care and pair links,True
peppered-cory,/compatibility/peppered-cory/,/compatibility/peppered-cory/,,,False,Upgrade existing hub; add care and pair links,True
percula-clownfish,/compatibility/percula-clownfish/,/compatibility/percula-clownfish/,,,False,Upgrade existing hub; add care and pair links,True
platy,/compatibility/platy/,/compatibility/platy/,,/wiki/platy/,False,Upgrade existing hub; add care and pair links,True
pygmy-corydoras,/compatibility/pygmy-corydoras/,/compatibility/pygmy-corydoras/,,/wiki/pygmy-corydoras/,False,Upgrade existing hub; add care and pair links,True
rainbow-shark,/compatibility/rainbow-shark/,/compatibility/rainbow-shark/,,/wiki/rainbow-shark/,False,Upgrade existing hub; add care and pair links,True
red-eye-tetra,/compatibility/red-eye-tetra/,/compatibility/red-eye-tetra/,,,False,Upgrade existing hub; add care and pair links,True
rosy-barb,/compatibility/rosy-barb/,/compatibility/rosy-barb/,,,False,Upgrade existing hub; add care and pair links,True
royal-gramma,/compatibility/royal-gramma/,/compatibility/royal-gramma/,,,False,Upgrade existing hub; add care and pair links,True
senegal-bichir,/compatibility/senegal-bichir/,/compatibility/senegal-bichir/,,,False,Upgrade existing hub; add care and pair links,True
serpae-tetra,/compatibility/serpae-tetra/,/compatibility/serpae-tetra/,,,False,Upgrade existing hub; add care and pair links,True
severum-cichlid,/compatibility/severum-cichlid/,/compatibility/severum-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
silver-arowana,/compatibility/silver-arowana/,/compatibility/silver-arowana/,,,False,Upgrade existing hub; add care and pair links,True
silver-dollar,/compatibility/silver-dollar/,/compatibility/silver-dollar/,,,False,Upgrade existing hub; add care and pair links,True
sparkling-gourami,/compatibility/sparkling-gourami/,/compatibility/sparkling-gourami/,,,False,Upgrade existing hub; add care and pair links,True
sterbai-cory,/compatibility/sterbai-cory/,/compatibility/sterbai-cory/,,,False,Upgrade existing hub; add care and pair links,True
swordtail,/compatibility/swordtail/,/compatibility/swordtail/,,/wiki/swordtail/,False,Upgrade existing hub; add care and pair links,True
texas-cichlid,/compatibility/texas-cichlid/,/compatibility/texas-cichlid/,,,False,Upgrade existing hub; add care and pair links,True
threadfin-rainbowfish,/compatibility/threadfin-rainbowfish/,/compatibility/threadfin-rainbowfish/,,,False,Upgrade existing hub; add care and pair links,True
three-spot-gourami,/compatibility/three-spot-gourami/,/compatibility/three-spot-gourami/,,,False,Upgrade existing hub; add care and pair links,True
tiger-barb,/compatibility/tiger-barb/,/compatibility/tiger-barb/,,/wiki/tiger-barb/,False,Upgrade existing hub; add care and pair links,True
watchman-goby,/compatibility/watchman-goby/,/compatibility/watchman-goby/,,,False,Upgrade existing hub; add care and pair links,True
weather-loach,/compatibility/weather-loach/,/compatibility/weather-loach/,,,False,Upgrade existing hub; add care and pair links,True
x-ray-tetra,/compatibility/x-ray-tetra/,/compatibility/x-ray-tetra/,,,False,Upgrade existing hub; add care and pair links,True
yellow-tang,/compatibility/yellow-tang/,/compatibility/yellow-tang/,,,False,Upgrade existing hub; add care and pair links,True
yoyo-loach,/compatibility/yoyo-loach/,/compatibility/yoyo-loach/,,,False,Upgrade existing hub; add care and pair links,True
zebra-danio,/compatibility/zebra-danio/,/compatibility/zebra-danio/,,/wiki/zebra-danio/,False,Upgrade existing hub; add care and pair links,True
zebra-loach,/compatibility/zebra-loach/,/compatibility/zebra-loach/,,,False,Upgrade existing hub; add care and pair links,True
zebra-pleco,/compatibility/zebra-pleco/,/compatibility/zebra-pleco/,,,False,Upgrade existing hub; add care and pair links,True
